Date,Open,High,Low,Close,Volume
2019-01-02,38.72,39.71,38.56,39.48,148158952
2019-01-03,36,36.43,35.5,35.55,365248812
2019-01-04,36.13,37.14,35.95,37.07,234428280
2019-01-07,37.18,37.21,36.48,36.98,219111048
2019-01-08,37.39,37.96,37.13,37.69,164101248
2019-01-09,37.82,38.63,37.41,38.33,180396312
2019-01-10,38.13,38.49,37.72,38.45,143122688
2019-01-11,38.22,38.43,37.88,38.07,108092960
2019-01-14,37.71,37.82,37.31,37.5,129756756
2019-01-15,37.57,38.35,37.51,38.27,114841280
2019-01-16,38.27,38.97,38.25,38.74,122278844
2019-01-17,38.55,39.42,38.32,38.97,119284640
2019-01-18,39.38,39.47,39,39.21,135004080
2019-01-22,39.1,39.18,38.16,38.33,121575884
2019-01-23,38.54,38.79,37.93,38.48,92522280
2019-01-24,38.53,38.62,37.94,38.18,101766204
2019-01-25,38.87,39.53,38.58,39.44,134191564
2019-01-28,38.95,39.08,38.42,39.08,104768244
2019-01-29,39.06,39.53,38.53,38.67,166348952
2019-01-30,40.81,41.54,40.06,41.31,244439124
2019-01-31,41.53,42.25,41.14,41.61,162958592
2019-02-01,41.74,42.25,41.48,41.63,130672564
2019-02-04,41.85,42.91,41.82,42.81,125982320
2019-02-05,43.22,43.77,43.09,43.55,144406532
2019-02-06,43.66,43.89,43.21,43.56,112958360
2019-02-07,43.1,43.49,42.59,42.74,126966756
2019-02-08,42.25,42.67,42.11,42.6,95279884
2019-02-11,42.76,42.8,42.31,42.36,83973720
2019-02-12,42.53,42.75,42.43,42.72,89134080
2019-02-13,42.85,43.12,42.48,42.55,89960920
2019-02-14,42.43,42.82,42.35,42.7,87343000
2019-02-15,42.81,42.93,42.44,42.61,98507244
2019-02-19,42.43,42.86,42.37,42.73,75891320
2019-02-20,42.8,43.33,42.75,43.01,104457436
2019-02-21,42.95,43.09,42.58,42.77,68998680
2019-02-22,42.9,43.25,42.85,43.24,75652600
2019-02-25,43.54,43.97,43.49,43.56,87493436
2019-02-26,43.43,43.83,43.29,43.58,68280844
2019-02-27,43.3,43.75,43.18,43.72,111341564
2019-02-28,43.58,43.73,43.23,43.29,112861680
2019-03-01,43.57,43.79,43.22,43.74,103544680
2019-03-04,43.92,44.44,43.49,43.96,109744796
2019-03-05,43.99,44,43.64,43.88,78949680
2019-03-06,43.67,43.87,43.49,43.63,83241524
2019-03-07,43.47,43.61,43.01,43.13,99185476
2019-03-08,42.58,43.27,42.38,43.23,95997436
2019-03-11,43.87,44.78,43.84,44.73,128044116
2019-03-12,45,45.67,44.84,45.23,129870320
2019-03-13,45.56,45.83,45.23,45.43,124130080
2019-03-14,45.98,46.03,45.64,45.93,94318040
2019-03-15,46.21,46.83,45.94,46.53,156171640
2019-03-18,46.45,47.1,46.45,47.01,104879320
2019-03-19,47.09,47.25,46.48,46.63,126585476
2019-03-20,46.56,47.37,46.18,47.04,124140920
2019-03-21,47.51,49.08,47.45,48.77,204136952
2019-03-22,48.84,49.42,47.7,47.76,169630688
2019-03-25,47.88,48,46.65,47.19,175381156
2019-03-26,47.92,48.22,46.15,46.7,199202156
2019-03-27,47.19,47.44,46.64,47.12,119393720
2019-03-28,47.24,47.39,46.88,47.18,83121436
2019-03-29,47.46,47.52,47.14,47.49,94255844
2019-04-01,47.91,47.92,47.1,47.81,111447844
2019-04-02,47.77,48.62,47.76,48.51,91062920
2019-04-03,48.31,49.13,48.29,48.84,93087320
2019-04-04,48.7,49.09,48.29,48.92,76457116
2019-04-05,49.11,49.28,48.98,49.25,74106564
2019-04-08,49.11,50.06,49.09,50.03,103526796
2019-04-09,50.08,50.71,49.81,49.88,143072952
2019-04-10,49.67,50.19,49.55,50.16,86781156
2019-04-11,50.21,50.25,49.61,49.74,83603244
2019-04-12,49.8,50.04,49.05,49.72,111042680
2019-04-15,49.65,49.96,49.5,49.81,70146600
2019-04-16,49.87,50.34,49.64,49.81,102785564
2019-04-17,49.89,50.85,49.65,50.78,115627116
2019-04-18,50.78,51.04,50.63,50.97,96783080
2019-04-22,50.71,51.24,50.59,51.13,77758204
2019-04-23,51.11,51.94,50.98,51.87,93291960
2019-04-24,51.84,52.12,51.76,51.79,70162436
2019-04-25,51.71,51.94,51.28,51.32,74172844
2019-04-26,51.23,51.25,50.53,51.08,74596400
2019-04-29,51.1,51.49,50.97,51.15,88818884
2019-04-30,50.77,50.85,49.78,50.17,186139688
2019-05-01,52.47,53.83,52.31,52.63,259309312
2019-05-02,52.46,53.16,52.03,52.29,127985280
2019-05-03,52.72,52.96,52.56,52.94,83569524
2019-05-06,51.07,52.21,50.88,52.12,129772436
2019-05-07,51.47,51.85,50.21,50.72,155054796
2019-05-08,50.48,51.34,50.44,50.73,105358000
2019-05-09,50.1,50.42,49.17,50.18,139634436
2019-05-10,49.35,49.71,48.19,49.3,164834844
2019-05-13,46.93,47.37,45.71,46.43,229722484
2019-05-14,46.6,47.43,46.35,47.17,146118720
2019-05-15,46.57,47.94,46.51,47.73,106178884
2019-05-16,47.48,48.12,47.21,47.52,132125436
2019-05-17,46.73,47.73,46.69,47.25,131516360
2019-05-20,45.88,46.09,45.07,45.77,154449156
2019-05-21,46.31,47,46.18,46.65,113459400
2019-05-22,46.17,46.43,45.64,45.7,118994244
2019-05-23,44.95,45.14,44.45,44.92,146118952
2019-05-24,45.05,45.54,44.66,44.74,94858756
2019-05-28,44.73,45.15,44.48,44.56,111792640
2019-05-29,44.11,44.84,44,44.35,113924680
2019-05-30,44.49,44.81,44.17,44.58,84873640
2019-05-31,44.06,44.5,43.75,43.77,108174320
2019-06-03,43.9,44.48,42.57,43.33,161584280
2019-06-04,43.86,44.96,43.63,44.91,123871844
