Date,Open,High,Low,Close,Volume
2024-01-02,187.15,188.44,183.89,185.64,"82,488,672"
2024-01-03,184.22,185.88,183.43,184.25,"58,414,461"
2024-01-04,182.15,183.09,180.88,181.91,"71,983,570"
2024-01-05,181.99,182.76,180.17,181.18,"62,379,660"
2024-01-08,182.09,185.6,181.5,185.56,"59,144,473"
2024-01-09,183.92,185.15,182.73,185.14,"42,841,809"
2024-01-10,184.35,186.4,183.92,186.19,"46,792,910"
2024-01-11,186.54,187.05,183.62,185.59,"49,128,406"
2024-01-12,186.06,186.74,185.19,185.92,"40,477,781"
2024-01-16,182.16,184.26,180.93,183.63,"65,603,039"
2024-01-17,181.27,182.93,180.3,182.68,"47,317,434"
2024-01-18,186.09,189.14,185.83,188.63,"78,005,750"
2024-01-19,189.33,191.95,188.82,191.56,"68,902,992"
2024-01-22,192.3,195.33,192.26,193.89,"60,133,848"
2024-01-23,195.02,195.75,193.83,195.18,"42,355,594"
2024-01-24,195.42,196.38,194.34,194.5,"53,631,320"
2024-01-25,195.22,196.27,193.11,194.17,"54,822,129"
2024-01-26,194.27,194.76,191.94,192.42,"44,594,008"
2024-01-29,192.01,192.2,189.58,191.73,"47,145,621"
2024-01-30,190.94,191.8,187.47,188.04,"55,859,367"
2024-01-31,187.04,187.1,184.35,184.4,"55,467,801"
2024-02-01,183.99,186.95,183.82,186.86,"64,885,406"
2024-02-02,179.86,187.33,179.25,185.85,"102,551,695"
2024-02-05,188.15,189.25,185.84,187.68,"69,668,812"
2024-02-06,186.86,189.31,186.77,189.3,"43,490,762"
2024-02-07,190.64,191.05,188.61,189.41,"53,438,961"
2024-02-08,189.39,189.54,187.35,188.32,"40,962,047"
2024-02-09,188.65,189.99,188,188.85,"45,155,219"
2024-02-12,188.42,188.67,186.79,187.15,"41,781,930"
2024-02-13,185.77,186.21,183.51,185.04,"56,529,527"
2024-02-14,185.32,185.53,182.44,184.15,"54,630,520"
2024-02-15,183.55,184.49,181.35,183.86,"65,434,500"
2024-02-16,183.42,184.85,181.67,182.31,"49,752,473"
2024-02-20,181.79,182.43,180,181.56,"53,665,551"
2024-02-21,181.94,182.89,180.66,182.32,"41,529,672"
2024-02-22,183.48,184.96,182.46,184.37,"52,292,207"
2024-02-23,185.01,185.04,182.23,182.52,"45,119,680"
2024-02-26,182.24,182.76,180.65,181.16,"40,867,422"
2024-02-27,181.1,183.92,179.56,182.63,"54,318,848"
2024-02-28,182.51,183.12,180.13,181.42,"48,953,941"
2024-02-29,181.27,182.57,179.53,180.75,"136,682,594"
2024-03-01,179.55,180.53,177.38,179.66,"73,563,078"
2024-03-04,176.15,176.9,173.79,175.1,"81,510,094"
2024-03-05,170.76,172.04,169.62,170.12,"95,132,359"
2024-03-06,171.06,171.24,168.68,169.12,"68,587,711"
2024-03-07,169.15,170.73,168.49,169,"71,765,055"
2024-03-08,169,173.7,168.94,170.73,"76,267,039"
2024-03-11,172.94,174.38,172.05,172.75,"60,139,473"
2024-03-12,173.15,174.03,171.01,173.23,"59,825,367"
2024-03-13,172.77,173.19,170.76,171.13,"52,488,688"
2024-03-14,172.91,174.31,172.05,173,"72,913,516"
2024-03-15,171.17,172.62,170.29,172.62,"121,752,703"
2024-03-18,175.57,177.71,173.52,173.72,"75,604,180"
2024-03-19,174.34,176.61,173.03,176.08,"55,215,238"
2024-03-20,175.72,178.67,175.09,178.67,"53,423,102"
2024-03-21,177.05,177.49,170.84,171.37,"106,181,297"
2024-03-22,171.76,173.05,170.06,172.28,"71,160,141"
2024-03-25,170.57,171.94,169.45,170.85,"54,288,328"
2024-03-26,170,171.42,169.58,169.71,"57,388,449"
2024-03-27,170.41,173.6,170.11,173.31,"60,273,273"
2024-03-28,171.75,172.23,170.51,171.48,"65,672,688"
2024-04-01,171.19,171.25,169.48,170.03,"46,240,500"
2024-04-02,169.08,169.34,168.23,168.84,"49,329,480"
2024-04-03,168.79,170.68,168.58,169.65,"47,691,719"
2024-04-04,170.29,171.92,168.82,168.82,"53,704,391"
2024-04-05,169.59,170.39,168.95,169.58,"42,104,832"
2024-04-08,169.03,169.2,168.24,168.45,"37,425,512"
2024-04-09,168.7,170.08,168.35,169.67,"42,451,207"
2024-04-10,168.8,169.09,167.11,167.78,"49,709,340"
2024-04-11,168.34,175.46,168.16,175.04,"91,070,281"
2024-04-12,174.26,178.36,174.21,176.55,"101,670,898"
2024-04-15,175.36,176.63,172.5,172.69,"73,531,766"
2024-04-16,171.75,173.76,168.27,169.38,"73,711,242"
2024-04-17,169.61,170.65,168,168,"50,901,207"
2024-04-18,168.03,168.64,166.55,167.04,"43,122,898"
2024-04-19,166.21,166.4,164.08,165,"68,149,375"
2024-04-22,165.52,167.26,164.77,165.84,"48,116,441"
2024-04-23,165.35,167.05,164.92,166.9,"49,537,762"
2024-04-24,166.54,169.3,166.21,169.02,"48,251,840"
2024-04-25,169.53,170.61,168.15,169.89,"50,558,328"
2024-04-26,169.88,171.34,169.18,169.3,"44,838,352"
2024-04-29,173.37,176.03,173.1,173.5,"68,169,422"
2024-04-30,173.33,174.99,170,170.33,"65,934,781"
2024-05-01,169.58,172.71,169.11,169.3,"50,383,152"
2024-05-02,172.51,173.42,170.89,173.03,"94,214,922"
2024-05-03,186.65,187,182.66,183.38,"163,224,094"
2024-05-06,182.35,184.2,180.42,181.71,"78,569,672"
2024-05-07,183.45,184.9,181.32,182.4,"77,305,766"
2024-05-08,182.85,183.07,181.45,182.74,"45,057,090"
2024-05-09,182.56,184.66,182.11,184.57,"48,982,969"
2024-05-10,184.9,185.09,182.13,183.05,"50,759,500"
2024-05-13,185.44,187.1,184.62,186.28,"72,044,805"
2024-05-14,187.51,188.3,186.29,187.43,"52,393,621"
2024-05-15,187.91,190.65,187.37,189.72,"70,399,992"
2024-05-16,190.47,191.1,189.66,189.84,"52,845,230"
2024-05-17,189.51,190.81,189.18,189.87,"41,282,930"
2024-05-20,189.33,191.92,189.01,191.04,"44,361,281"
2024-05-21,191.09,192.73,190.92,192.35,"42,309,398"
2024-05-22,192.27,192.82,190.27,190.9,"34,648,551"
2024-05-23,190.98,191,186.63,186.88,"51,005,922"
2024-05-24,188.82,190.58,188.04,189.98,"36,326,980"
2024-05-28,191.51,193,189.1,189.99,"52,280,047"
2024-05-29,189.61,192.25,189.51,190.29,"53,068,020"
2024-05-30,190.76,192.18,190.63,191.29,"49,947,941"
2024-05-31,191.44,192.57,189.91,192.25,"75,158,281"
2024-06-03,192.9,194.99,192.52,194.03,"50,080,539"
2024-06-04,194.64,195.32,193.03,194.35,"47,471,449"
2024-06-05,195.4,196.9,194.87,195.87,"54,156,793"
2024-06-06,195.69,196.5,194.17,194.48,"41,181,754"
2024-06-07,194.65,196.94,194.14,196.89,"53,103,910"
2024-06-10,196.9,197.3,192.15,193.12,"97,262,078"
2024-06-11,193.65,207.16,193.63,207.15,"172,373,297"
2024-06-12,207.37,220.2,206.9,213.07,"198,134,297"
2024-06-13,214.74,216.75,211.6,214.24,"97,862,727"
2024-06-14,213.85,215.17,211.3,212.49,"70,122,750"
2024-06-17,213.37,218.95,212.72,216.67,"93,728,305"
2024-06-18,217.59,218.63,213,214.29,"79,943,250"
2024-06-20,213.93,214.24,208.85,209.68,"86,172,445"
2024-06-21,210.39,211.89,207.11,207.49,"246,421,406"
2024-06-24,207.72,212.7,206.59,208.14,"80,727,008"
2024-06-25,209.15,211.38,208.61,209.07,"56,713,871"
2024-06-26,211.5,214.86,210.64,213.25,"66,213,195"
2024-06-27,214.69,215.74,212.35,214.1,"49,772,711"
2024-06-28,215.77,216.07,210.3,210.62,"82,542,719"
2024-07-01,212.09,217.51,211.92,216.75,"60,402,930"
2024-07-02,216.15,220.38,215.1,220.27,"58,046,180"
2024-07-03,220,221.55,219.03,221.55,"37,369,801"
2024-07-05,221.65,226.45,221.65,226.34,"60,412,406"
2024-07-08,227.09,227.85,223.25,227.82,"59,085,859"
2024-07-09,227.93,229.4,226.37,228.68,"48,169,820"
2024-07-10,229.3,233.08,229.25,232.98,"62,627,688"
2024-07-11,231.39,232.39,225.77,227.57,"64,710,621"
2024-07-12,228.92,232.64,228.68,230.54,"53,046,527"
2024-07-15,236.48,237.23,233.09,234.4,"62,631,246"
2024-07-16,235,236.27,232.33,234.82,"43,234,281"
2024-07-17,229.45,231.46,226.64,228.88,"57,345,879"
2024-07-18,230.28,230.44,222.27,224.18,"66,034,594"
2024-07-19,224.82,226.8,223.28,224.31,"49,151,449"
2024-07-22,227.01,227.78,223.09,223.96,"48,201,840"
2024-07-23,224.37,226.94,222.68,225.01,"39,960,262"
2024-07-24,224,224.8,217.13,218.54,"61,777,578"
2024-07-25,218.93,220.85,214.62,217.49,"51,391,199"
2024-07-26,218.7,219.49,216.01,217.96,"41,601,352"
2024-07-29,216.96,219.3,215.75,218.24,"36,311,781"
2024-07-30,219.19,220.33,216.12,218.8,"41,643,840"
2024-07-31,221.44,223.82,220.63,222.08,"50,036,262"
2024-08-01,224.37,224.48,217.02,218.36,"62,501,000"
2024-08-02,219.15,225.6,217.71,219.86,"105,568,602"
2024-08-05,199.09,213.5,196,209.27,"119,548,602"
2024-08-06,205.3,209.99,201.07,207.23,"69,660,484"
2024-08-07,206.9,213.64,206.39,209.82,"63,516,422"
2024-08-08,213.11,214.2,208.83,213.31,"47,161,152"
2024-08-09,212.1,216.78,211.97,216.24,"42,201,648"
2024-08-12,216.07,219.51,215.6,217.53,"38,028,090"
2024-08-13,219.01,221.89,219.01,221.27,"44,155,328"
2024-08-14,220.57,223.03,219.7,221.72,"41,960,566"
2024-08-15,224.6,225.35,222.76,224.72,"46,414,008"
2024-08-16,223.92,226.83,223.65,226.05,"44,340,238"
2024-08-19,225.72,225.99,223.04,225.89,"40,687,809"
2024-08-20,225.77,227.17,225.45,226.51,"30,299,029"
2024-08-21,226.52,227.98,225.05,226.4,"34,765,480"
2024-08-22,227.79,228.34,223.9,224.53,"43,695,320"
2024-08-23,225.66,228.22,224.33,226.84,"38,677,246"
2024-08-26,226.76,227.28,223.89,227.18,"30,602,211"
2024-08-27,226,228.85,224.89,228.03,"35,934,559"
2024-08-28,227.92,229.86,225.68,226.49,"38,052,168"
2024-08-29,230.1,232.92,228.88,229.79,"51,906,301"
2024-08-30,230.19,230.4,227.48,229,"52,990,770"
2024-09-03,228.55,229,221.17,222.77,"50,087,200"
2024-09-04,221.66,221.78,217.48,220.85,"43,840,199"
2024-09-05,221.63,225.48,221.52,222.38,"36,615,398"
2024-09-06,223.95,225.24,219.77,220.82,"48,423,008"
2024-09-09,220.82,221.27,216.71,220.91,"67,179,969"
